comm_cost,cost_mode,n_clients,max_iter,Complete_Occurrences,Lottery_Occurrences,source_file,n_trials,nash_rate,lottery_rate
0.1,fixed,90,100,0,3,Nash_Counts_fedfor_cc_0.1_nclients_90_maxiter_100.csv,100,0.0,0.03
0.1,fixed,20,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_20_maxiter_100.csv,100,0.0,0.0
0.1,fixed,60,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_60_maxiter_100.csv,100,0.0,0.0
0.1,fixed,100,100,0,3,Nash_Counts_fedfor_cc_0.1_nclients_100_maxiter_100.csv,100,0.0,0.03
0.1,fixed,80,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_80_maxiter_100.csv,100,0.0,0.0
0.1,fixed,30,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_30_maxiter_100.csv,100,0.0,0.0
0.1,fixed,70,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_70_maxiter_100.csv,100,0.0,0.0
0.1,fixed,40,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_40_maxiter_100.csv,100,0.0,0.0
0.1,fixed,10,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_10_maxiter_100.csv,100,0.0,0.0
0.1,fixed,50,100,0,0,Nash_Counts_fedfor_cc_0.1_nclients_50_maxiter_100.csv,100,0.0,0.0
