n_clients,max_iter,Lottery_Occurrences,Lottery_Rate,Complete_Occurrences,Complete_Rate
10,100,87,0.87,0,0.0
20,100,94,0.94,0,0.0
30,100,89,0.89,0,0.0
40,100,89,0.89,0,0.0
50,100,84,0.84,0,0.0
60,100,91,0.91,0,0.0
70,100,94,0.94,0,0.0
80,100,88,0.88,0,0.0
90,100,88,0.88,0,0.0
100,100,83,0.83,0,0.0
