comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.01,fixed,10,1,0.8119625307125307,0.847492327344295,0.837492327344295,0.8548065110565111,0.8448065110565111
0.01,fixed,10,2,0.8114250614250614,0.8451515521707325,0.8351515521707324,0.8548065110565111,0.8448065110565111
0.01,fixed,10,3,0.8139588452088452,0.8523197000182168,0.8423197000182168,0.8566492628992629,0.8466492628992629
0.01,fixed,10,4,0.8115786240786241,0.8446869828937172,0.8346869828937172,0.8513513513513513,0.8413513513513513
0.01,fixed,10,5,0.8107340294840295,0.8427757609125145,0.8327757609125145,0.8531941031941032,0.8431941031941032
0.01,fixed,10,6,0.8138820638820639,0.8450835951883592,0.8350835951883592,0.8538083538083538,0.8438083538083538
0.01,fixed,10,7,0.8152641277641277,0.848090153793547,0.838090153793547,0.8523495085995086,0.8423495085995086
0.01,fixed,10,8,0.8117321867321867,0.8469075365776007,0.8369075365776006,0.8566492628992629,0.8466492628992629
0.01,fixed,10,9,0.8095055282555282,0.8439292638811426,0.8339292638811426,0.8487407862407862,0.8387407862407862
0.01,fixed,10,10,0.8128071253071253,0.8488338169841972,0.8388338169841972,0.8580313267813268,0.8480313267813268
0.01,fixed,10,11,0.8141124078624079,0.8475608252485219,0.8375608252485219,0.8543458230958231,0.8443458230958231
0.01,fixed,10,12,0.8134213759213759,0.8407072788923944,0.8307072788923944,0.8587223587223587,0.8487223587223587
0.01,fixed,10,13,0.8132678132678133,0.8472593496814922,0.8372593496814922,0.8528101965601965,0.8428101965601965
0.01,fixed,10,14,0.8134981572481572,0.850241351089435,0.840241351089435,0.8521959459459459,0.8421959459459459
0.01,fixed,10,15,0.8174907862407862,0.8536466666470578,0.8436466666470578,0.8568028255528255,0.8468028255528255
0.01,fixed,10,16,0.8133445945945946,0.8500161874120559,0.8400161874120559,0.8530405405405406,0.8430405405405406
0.01,fixed,10,17,0.8068949631449631,0.8439428857296795,0.8339428857296795,0.8488943488943489,0.8388943488943489
0.01,fixed,10,18,0.8107340294840295,0.8416582482964046,0.8316582482964046,0.8544993857493858,0.8444993857493858
0.01,fixed,10,19,0.8141124078624079,0.8501748718102438,0.8401748718102438,0.8601812039312039,0.8501812039312039
0.01,fixed,10,20,0.8108108108108109,0.8431327919382908,0.8331327919382908,0.8509674447174447,0.8409674447174447
0.01,fixed,10,21,0.8170300982800983,0.8476267446663984,0.8376267446663984,0.8567260442260443,0.8467260442260442
0.01,fixed,10,22,0.8182585995085995,0.8511650534095965,0.8411650534095965,0.8562653562653563,0.8462653562653563
0.01,fixed,10,23,0.8132678132678133,0.8480399610036576,0.8380399610036576,0.851044226044226,0.841044226044226
