comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.05,fixed,10,100,1,0.9632731143928543,0.9132731143928543,0.9180064308681672,0.8680064308681672
0.05,fixed,10,100,2,0.9676139504057162,0.9176139504057161,0.9196141479099679,0.8696141479099678
0.05,fixed,10,100,3,0.925009448797999,0.8750094487979989,0.8794212218649518,0.8294212218649517
0.05,fixed,10,100,4,0.97709948095234,0.92709948095234,0.9308681672025724,0.8808681672025723
0.05,fixed,10,100,5,0.9494467478333688,0.8994467478333688,0.9035369774919614,0.8535369774919613
0.05,fixed,10,100,6,0.9677747221098962,0.9177747221098962,0.9212218649517685,0.8712218649517685
0.05,fixed,10,100,7,0.9515367799877098,0.9015367799877098,0.9035369774919614,0.8535369774919613
0.05,fixed,10,100,8,0.9693824391516968,0.9193824391516967,0.9244372990353698,0.8744372990353697
0.05,fixed,10,100,9,0.9639162012095746,0.9139162012095745,0.9196141479099679,0.8696141479099678
0.05,fixed,10,100,10,0.9632731143928543,0.9132731143928543,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,11,0.9594145934925328,0.9094145934925327,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,12,0.9566814745214718,0.9066814745214717,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,13,0.9714724713060378,0.9214724713060377,0.9244372990353698,0.8744372990353697
0.05,fixed,10,100,14,0.9714724713060378,0.9214724713060377,0.9260450160771704,0.8760450160771703
0.05,fixed,10,100,15,0.9652023748430152,0.9152023748430151,0.9180064308681672,0.8680064308681672
0.05,fixed,10,100,16,0.9550737574796712,0.9050737574796711,0.9083601286173634,0.8583601286173633
0.05,fixed,10,100,17,0.9452666835246872,0.8952666835246872,0.9019292604501608,0.8519292604501607
0.05,fixed,10,100,18,0.9790287414025006,0.9290287414025006,0.9372990353697749,0.8872990353697748
0.05,fixed,10,100,19,0.960057680309253,0.9100576803092529,0.9147909967845659,0.8647909967845658
0.05,fixed,10,100,20,0.974848677093819,0.9248486770938189,0.932475884244373,0.882475884244373
0.05,fixed,10,100,21,0.9314403169652016,0.8814403169652015,0.882636655948553,0.832636655948553
0.05,fixed,10,100,22,0.959896908605073,0.909896908605073,0.9083601286173634,0.8583601286173633
0.05,fixed,10,100,23,0.9436589664828864,0.8936589664828863,0.8971061093247589,0.8471061093247588
0.05,fixed,10,100,24,0.959736136900893,0.9097361369008929,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,25,0.9846557510488028,0.9346557510488027,0.9356913183279743,0.8856913183279742
0.05,fixed,10,100,26,0.9539483555504106,0.9039483555504105,0.9083601286173634,0.8583601286173633
0.05,fixed,10,100,27,0.9711509278976775,0.9211509278976775,0.9260450160771704,0.8760450160771703
0.05,fixed,10,100,28,0.9579676481549124,0.9079676481549124,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,29,0.9518583233960698,0.9018583233960697,0.9067524115755627,0.8567524115755627
0.05,fixed,10,100,30,0.9459097703414074,0.8959097703414074,0.9019292604501608,0.8519292604501607
0.05,fixed,10,100,31,0.9666493201806357,0.9166493201806356,0.9244372990353698,0.8744372990353697
0.05,fixed,10,100,32,0.9635946578012144,0.9135946578012144,0.9180064308681672,0.8680064308681672
0.05,fixed,10,100,33,0.9600576803092532,0.9100576803092532,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,34,0.954752214071311,0.9047522140713109,0.909967845659164,0.859967845659164
0.05,fixed,10,100,35,0.9661670050680956,0.9161670050680956,0.9180064308681672,0.8680064308681672
0.05,fixed,10,100,36,0.9782248828816004,0.9282248828816003,0.9340836012861736,0.8840836012861736
0.05,fixed,10,100,37,0.960057680309253,0.9100576803092529,0.9131832797427653,0.8631832797427652
0.05,fixed,10,100,38,0.9857811529780633,0.9357811529780633,0.9389067524115756,0.8889067524115756
0.05,fixed,10,100,39,0.9586107349716324,0.9086107349716324,0.9163987138263665,0.8663987138263665
