comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.01,fixed,10,100,1,0.6311628118930905,0.6211628118930905,0.6178947368421053,0.6078947368421053
0.01,fixed,10,100,2,0.6602242039810723,0.6502242039810723,0.6578947368421053,0.6478947368421053
0.01,fixed,10,100,3,0.6603143475992674,0.6503143475992674,0.6578947368421053,0.6478947368421053
0.01,fixed,10,100,4,0.6530640010161601,0.6430640010161601,0.6642105263157895,0.6542105263157895
0.01,fixed,10,100,5,0.6355391493256831,0.6255391493256831,0.6294736842105263,0.6194736842105263
0.01,fixed,10,100,6,0.6500807301573347,0.6400807301573347,0.6578947368421053,0.6478947368421053
0.01,fixed,10,100,7,0.6710585841879236,0.6610585841879236,0.6736842105263158,0.6636842105263158
0.01,fixed,10,100,8,0.6421029599288846,0.6321029599288845,0.6663157894736842,0.6563157894736842
0.01,fixed,10,100,9,0.6692999587827934,0.6592999587827933,0.6642105263157895,0.6542105263157895
0.01,fixed,10,100,10,0.6397931647937406,0.6297931647937406,0.64,0.63
0.01,fixed,10,100,11,0.6534719714707928,0.6434719714707928,0.6589473684210526,0.6489473684210526
0.01,fixed,10,100,12,0.6627135031525612,0.6527135031525612,0.6442105263157895,0.6342105263157894
0.01,fixed,10,100,13,0.6611751060044584,0.6511751060044584,0.6557894736842105,0.6457894736842105
0.01,fixed,10,100,14,0.6372226734293165,0.6272226734293165,0.6389473684210526,0.6289473684210526
0.01,fixed,10,100,15,0.6172288978584062,0.6072288978584062,0.6431578947368422,0.6331578947368421
0.01,fixed,10,100,16,0.6770028004774876,0.6670028004774876,0.6663157894736842,0.6563157894736842
0.01,fixed,10,100,17,0.662175691222648,0.652175691222648,0.6568421052631579,0.6468421052631579
0.01,fixed,10,100,18,0.6559481005890335,0.6459481005890335,0.6452631578947369,0.6352631578947369
0.01,fixed,10,100,19,0.6661871779803118,0.6561871779803118,0.6589473684210526,0.6489473684210526
0.01,fixed,10,100,20,0.6551903543166078,0.6451903543166078,0.651578947368421,0.641578947368421
0.01,fixed,10,100,21,0.677885208616254,0.667885208616254,0.6821052631578948,0.6721052631578948
0.01,fixed,10,100,22,0.6515673159469534,0.6415673159469534,0.6663157894736842,0.6563157894736842
0.01,fixed,10,100,23,0.6613964647537208,0.6513964647537208,0.6589473684210526,0.6489473684210526
0.01,fixed,10,100,24,0.6616232665514273,0.6516232665514273,0.6652631578947369,0.6552631578947369
0.01,fixed,10,100,25,0.6406970343728005,0.6306970343728004,0.6484210526315789,0.6384210526315789
0.01,fixed,10,100,26,0.6587467082027555,0.6487467082027555,0.6663157894736842,0.6563157894736842
0.01,fixed,10,100,27,0.6455214744921972,0.6355214744921972,0.6547368421052632,0.6447368421052632
0.01,fixed,10,100,28,0.6536531920782034,0.6436531920782034,0.6452631578947369,0.6352631578947369
0.01,fixed,10,100,29,0.656143877108878,0.646143877108878,0.6631578947368421,0.653157894736842
0.01,fixed,10,100,30,0.664444194708244,0.654444194708244,0.6505263157894737,0.6405263157894737
0.01,fixed,10,100,31,0.6525384030239891,0.6425384030239891,0.6568421052631579,0.6468421052631579
0.01,fixed,10,100,32,0.6190306801381649,0.6090306801381649,0.651578947368421,0.641578947368421
0.01,fixed,10,100,33,0.6587147323717168,0.6487147323717168,0.651578947368421,0.641578947368421
0.01,fixed,10,100,34,0.6680247763327203,0.6580247763327203,0.6663157894736842,0.6563157894736842
0.01,fixed,10,100,35,0.655633639989882,0.645633639989882,0.6463157894736842,0.6363157894736842
0.01,fixed,10,100,36,0.6650228464359657,0.6550228464359656,0.6684210526315789,0.6584210526315789
0.01,fixed,10,100,37,0.6607204189445745,0.6507204189445744,0.6547368421052632,0.6447368421052632
0.01,fixed,10,100,38,0.6884674416976939,0.6784674416976939,0.6863157894736842,0.6763157894736842
0.01,fixed,10,100,39,0.6457124990002187,0.6357124990002186,0.64,0.63
0.01,fixed,10,100,40,0.6445767410295407,0.6345767410295406,0.6347368421052632,0.6247368421052631
0.01,fixed,10,100,41,0.6612935175682143,0.6512935175682143,0.6673684210526316,0.6573684210526316
0.01,fixed,10,100,42,0.649712963909158,0.639712963909158,0.6421052631578947,0.6321052631578947
0.01,fixed,10,100,43,0.6531776314046072,0.6431776314046072,0.6610526315789473,0.6510526315789473
0.01,fixed,10,100,44,0.6651455327449943,0.6551455327449943,0.6694736842105263,0.6594736842105263
0.01,fixed,10,100,45,0.6528546352149496,0.6428546352149496,0.6652631578947369,0.6552631578947369
0.01,fixed,10,100,46,0.6598327927875401,0.6498327927875401,0.6705263157894736,0.6605263157894736
0.01,fixed,10,100,47,0.6627653261004174,0.6527653261004174,0.6547368421052632,0.6447368421052632
0.01,fixed,10,100,48,0.6357743735214157,0.6257743735214157,0.6610526315789473,0.6510526315789473
0.01,fixed,10,100,49,0.6395376772107035,0.6295376772107035,0.6305263157894737,0.6205263157894737
0.01,fixed,10,100,50,0.6582180450696007,0.6482180450696007,0.6578947368421053,0.6478947368421053
