n_clients,max_iter,trial,predicted_global,actual_global
10,100,1,0.8877897141430011,0.9239956568946797
10,100,2,0.8877897141430011,0.9239956568946797
10,100,3,0.8877897141430011,0.9283387622149837
10,100,4,0.8877897141430011,0.9261672095548317
10,100,5,0.8877897141430011,0.9239956568946797
10,100,6,0.8877897141430011,0.9239956568946797
10,100,7,0.8877897141430011,0.9239956568946797
10,100,8,0.8877897141430011,0.9315960912052117
10,100,9,0.8877897141430011,0.9261672095548317
10,100,10,0.8877897141430011,0.9239956568946797
10,100,11,0.8877897141430011,0.9283387622149837
10,100,12,0.8877897141430011,0.9272529858849077
10,100,13,0.8877897141430011,0.9218241042345277
10,100,14,0.8877897141430011,0.9261672095548317
10,100,15,0.8877897141430011,0.9305103148751357
10,100,16,0.8877897141430011,0.9272529858849077
10,100,17,0.8877897141430011,0.9283387622149837
10,100,18,0.8877897141430011,0.9218241042345277
10,100,19,0.8877897141430011,0.9272529858849077
10,100,20,0.8877897141430011,0.9250814332247557
10,100,21,0.8877897141430011,0.9294245385450597
10,100,22,0.8877897141430011,0.9272529858849077
10,100,23,0.8877897141430011,0.9250814332247557
10,100,24,0.8877897141430011,0.9294245385450597
10,100,25,0.8877897141430011,0.9272529858849077
10,100,26,0.8877897141430011,0.9283387622149837
10,100,27,0.8877897141430011,0.9294245385450597
10,100,28,0.8877897141430011,0.9294245385450597
10,100,29,0.8877897141430011,0.9250814332247557
10,100,30,0.8877897141430011,0.9272529858849077
10,100,31,0.8877897141430011,0.9272529858849077
10,100,32,0.8877897141430011,0.9305103148751357
10,100,33,0.8877897141430011,0.9250814332247557
10,100,34,0.8877897141430011,0.9261672095548317
10,100,35,0.8877897141430011,0.9283387622149837
10,100,36,0.8877897141430011,0.9218241042345277
10,100,37,0.8877897141430011,0.9250814332247557
10,100,38,0.8877897141430011,0.9250814332247557
10,100,39,0.8877897141430011,0.9272529858849077
10,100,40,0.8877897141430011,0.9229098805646037
10,100,41,0.8877897141430011,0.9283387622149837
10,100,42,0.8877897141430011,0.9272529858849077
10,100,43,0.8877897141430011,0.9250814332247557
10,100,44,0.8877897141430011,0.9261672095548317
10,100,45,0.8877897141430011,0.9283387622149837
10,100,46,0.8877897141430011,0.9229098805646037
10,100,47,0.8877897141430011,0.9283387622149837
10,100,48,0.8877897141430011,0.9294245385450597
10,100,49,0.8877897141430011,0.9272529858849077
