comm_cost,cost_mode,n_clients,max_depth,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.08,fixed,10,100,1,0.8476617387219744,0.7676617387219744,0.8578947368421053,0.7778947368421053
0.08,fixed,10,100,2,0.8519034575371799,0.7719034575371799,0.8705263157894737,0.7905263157894737
0.08,fixed,10,100,3,0.848571005777309,0.7685710057773091,0.8652631578947368,0.7852631578947369
0.08,fixed,10,100,4,0.8647559707503446,0.7847559707503446,0.8789473684210526,0.7989473684210526
0.08,fixed,10,100,5,0.8412430716691132,0.7612430716691132,0.8894736842105263,0.8094736842105263
0.08,fixed,10,100,6,0.8439447387505545,0.7639447387505546,0.8610526315789474,0.7810526315789474
0.08,fixed,10,100,7,0.8100985033913877,0.7300985033913877,0.8473684210526315,0.7673684210526316
0.08,fixed,10,100,8,0.8100289464920734,0.7300289464920734,0.88,0.8
0.08,fixed,10,100,9,0.8381252277940965,0.7581252277940965,0.8694736842105263,0.7894736842105263
0.08,fixed,10,100,10,0.8433566580129798,0.7633566580129798,0.8663157894736843,0.7863157894736843
0.08,fixed,10,100,11,0.8413266732944383,0.7613266732944384,0.8421052631578947,0.7621052631578947
0.08,fixed,10,100,12,0.8256922687211262,0.7456922687211263,0.8610526315789474,0.7810526315789474
0.08,fixed,10,100,13,0.8398426647392696,0.7598426647392696,0.8673684210526316,0.7873684210526316
0.08,fixed,10,100,14,0.8317607119832752,0.7517607119832752,0.8768421052631579,0.7968421052631579
0.08,fixed,10,100,15,0.8382130512600625,0.7582130512600626,0.8547368421052631,0.7747368421052632
0.08,fixed,10,100,16,0.8274687271633991,0.7474687271633992,0.8726315789473684,0.7926315789473685
0.08,fixed,10,100,17,0.8489112021339275,0.7689112021339275,0.8589473684210527,0.7789473684210527
0.08,fixed,10,100,18,0.8248333920325004,0.7448333920325004,0.8673684210526316,0.7873684210526316
0.08,fixed,10,100,19,0.8212349619893025,0.7412349619893025,0.8631578947368421,0.7831578947368422
