n_clients,max_iter,Lottery_Occurrences,Lottery_Rate,Complete_Occurrences,Complete_Rate
10,100,4,0.04,0,0.0
20,100,29,0.29,0,0.0
30,100,60,0.6,0,0.0
40,100,66,0.66,0,0.0
50,100,90,0.9,0,0.0
60,100,93,0.93,0,0.0
70,100,98,0.98,0,0.0
80,100,95,0.95,0,0.0
90,100,97,0.97,0,0.0
100,100,97,0.97,0,0.0
