n_clients,max_iter,Lottery_Occurrences,Lottery_Rate,Complete_Occurrences,Complete_Rate
10,100,99,0.99,100,1.0
20,100,100,1.0,100,1.0
30,100,100,1.0,100,1.0
40,100,100,1.0,100,1.0
50,100,100,1.0,100,1.0
60,100,100,1.0,100,1.0
70,100,100,1.0,100,1.0
80,100,99,0.99,100,1.0
90,100,100,1.0,100,1.0
100,100,100,1.0,100,1.0
