comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.05,fixed,10,1,0.8119625307125307,0.847492327344295,0.797492327344295,0.8548065110565111,0.804806511056511
0.05,fixed,10,2,0.8114250614250614,0.8451515521707325,0.7951515521707324,0.8548065110565111,0.804806511056511
0.05,fixed,10,3,0.8139588452088452,0.8523197000182168,0.8023197000182167,0.8566492628992629,0.8066492628992629
0.05,fixed,10,4,0.8115786240786241,0.8446869828937172,0.7946869828937172,0.8513513513513513,0.8013513513513513
0.05,fixed,10,5,0.8107340294840295,0.8427757609125145,0.7927757609125144,0.8531941031941032,0.8031941031941031
0.05,fixed,10,6,0.8138820638820639,0.8450835951883592,0.7950835951883591,0.8538083538083538,0.8038083538083538
0.05,fixed,10,7,0.8152641277641277,0.848090153793547,0.798090153793547,0.8523495085995086,0.8023495085995086
0.05,fixed,10,8,0.8117321867321867,0.8469075365776007,0.7969075365776006,0.8566492628992629,0.8066492628992629
0.05,fixed,10,9,0.8095055282555282,0.8439292638811426,0.7939292638811426,0.8487407862407862,0.7987407862407861
0.05,fixed,10,10,0.8128071253071253,0.8488338169841972,0.7988338169841972,0.8580313267813268,0.8080313267813267
0.05,fixed,10,11,0.8141124078624079,0.8475608252485219,0.7975608252485219,0.8543458230958231,0.804345823095823
0.05,fixed,10,12,0.8134213759213759,0.8407072788923944,0.7907072788923943,0.8587223587223587,0.8087223587223586
0.05,fixed,10,13,0.8132678132678133,0.8472593496814922,0.7972593496814921,0.8528101965601965,0.8028101965601965
0.05,fixed,10,14,0.8134981572481572,0.850241351089435,0.800241351089435,0.8521959459459459,0.8021959459459459
0.05,fixed,10,15,0.8174907862407862,0.8536466666470578,0.8036466666470578,0.8568028255528255,0.8068028255528255
0.05,fixed,10,16,0.8133445945945946,0.8500161874120559,0.8000161874120558,0.8530405405405406,0.8030405405405405
0.05,fixed,10,17,0.8068949631449631,0.8439428857296795,0.7939428857296794,0.8488943488943489,0.7988943488943488
0.05,fixed,10,18,0.8107340294840295,0.8416582482964046,0.7916582482964045,0.8544993857493858,0.8044993857493857
0.05,fixed,10,19,0.8141124078624079,0.8501748718102438,0.8001748718102437,0.8601812039312039,0.8101812039312039
0.05,fixed,10,20,0.8108108108108109,0.8431327919382908,0.7931327919382908,0.8509674447174447,0.8009674447174446
0.05,fixed,10,21,0.8170300982800983,0.8476267446663984,0.7976267446663984,0.8567260442260443,0.8067260442260442
0.05,fixed,10,22,0.8182585995085995,0.8511650534095965,0.8011650534095964,0.8562653562653563,0.8062653562653562
0.05,fixed,10,23,0.8132678132678133,0.8480399610036576,0.7980399610036576,0.851044226044226,0.801044226044226
0.05,fixed,10,24,0.816722972972973,0.8494777061237945,0.7994777061237944,0.8538083538083538,0.8038083538083538
0.05,fixed,10,25,0.8108875921375921,0.8447913537168139,0.7947913537168139,0.8544226044226044,0.8044226044226044
0.05,fixed,10,26,0.8122696560196561,0.8414414895331904,0.7914414895331904,0.8521191646191646,0.8021191646191645
0.05,fixed,10,27,0.8179514742014742,0.8462282742177714,0.7962282742177713,0.8524262899262899,0.8024262899262898
0.05,fixed,10,28,0.8131142506142506,0.8510950371624458,0.8010950371624458,0.8534244471744472,0.8034244471744472
0.05,fixed,10,29,0.8138820638820639,0.8452335936734388,0.7952335936734387,0.8531173218673219,0.8031173218673219
0.05,fixed,10,30,0.816722972972973,0.8494777061237945,0.7994777061237944,0.8538083538083538,0.8038083538083538
0.05,fixed,10,31,0.8157248157248157,0.8435488684163628,0.7935488684163627,0.8530405405405406,0.8030405405405405
0.05,fixed,10,32,0.8128839066339066,0.848304868784398,0.798304868784398,0.8561885749385749,0.8061885749385749
0.05,fixed,10,33,0.8139588452088452,0.8457379957347125,0.7957379957347125,0.8561117936117936,0.8061117936117935
0.05,fixed,10,34,0.8118857493857494,0.8467660612785661,0.7967660612785661,0.8540386977886978,0.8040386977886977
0.05,fixed,10,35,0.8132678132678133,0.852000487020364,0.802000487020364,0.8530405405405406,0.8030405405405405
0.05,fixed,10,36,0.8115018427518428,0.8470116204459033,0.7970116204459032,0.8533476658476659,0.8033476658476658
0.05,fixed,10,37,0.8131910319410319,0.8370715504187355,0.7870715504187354,0.8566492628992629,0.8066492628992629
0.05,fixed,10,38,0.8125,0.8496341731957686,0.7996341731957686,0.855267199017199,0.805267199017199
0.05,fixed,10,39,0.8111947174447175,0.8402877488235296,0.7902877488235296,0.8541154791154791,0.8041154791154791
0.05,fixed,10,40,0.8139588452088452,0.8455165049179082,0.7955165049179082,0.8568028255528255,0.8068028255528255
0.05,fixed,10,41,0.8138052825552825,0.853285276032961,0.803285276032961,0.8539619164619164,0.8039619164619164
0.05,fixed,10,42,0.8106572481572482,0.8454083024168304,0.7954083024168304,0.8537315724815725,0.8037315724815725
0.05,fixed,10,43,0.8117321867321867,0.8454353198999345,0.7954353198999344,0.8533476658476659,0.8033476658476658
0.05,fixed,10,44,0.8114250614250614,0.8465457811392757,0.7965457811392757,0.8523495085995086,0.8023495085995086
0.05,fixed,10,45,0.8128839066339066,0.8460268387039113,0.7960268387039112,0.8518120393120393,0.8018120393120393
0.05,fixed,10,46,0.8101197788697788,0.8481387935174965,0.7981387935174965,0.851044226044226,0.801044226044226
