n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.004988488281773229,-0.0005374692874693388,0.0012911651849478252,-0.004084547209547207,0.0010394725332127442,0.001624200430106832,2100
20,0.005773589757712694,-0.0026105651105650107,0.0019493853952837715,-0.0063266716391716365,0.0013999269498425181,0.0018382740422430172,2100
30,0.004862997355232324,-0.004146191646191677,0.0018493196733425682,-0.008080576518076516,0.00148088661024195,0.0019364475460114888,2100
40,0.006752206503425562,-0.003992628992628977,0.0019893854454457872,-0.00870162776412777,0.0016063363483515298,0.0020747854739569796,2100
50,0.005064127330851487,-0.003992628992628977,0.0015810869320245068,-0.009802671990171983,0.0015650954432395356,0.002443508729606125,2100
60,0.005933178124764016,-0.007063882063882088,0.0021660023215653353,-0.011150184275184277,0.0016361750027768871,0.0025075416404802355,2100
70,0.005917776601487512,-0.005528255528255421,0.0020304700044915447,-0.011459613022113027,0.0014799757594994346,0.0024876051946199134,2100
80,0.005141845387031663,-0.006603194103194099,0.0020264198315443553,-0.011996314496314508,0.00149294257994303,0.002609607960424597,2100
90,0.005159155109846658,-0.007754914004913904,0.0018149742961378569,-0.013979576167076162,0.0015957306098899912,0.0030356014079427575,2100
100,0.0076263356711397945,-0.007524570024569965,0.0019676799242707,-0.014626842751842747,0.0019185051471506665,0.0029804880614462976,2100
