n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.125468182014709,0.14,0.06846488126179259,0.10294385964912281,0.02161587116263152,0.011777906865930924,600
20,0.1879197197273249,0.1473684210526316,0.09902617167088335,0.12184385964912281,0.029561558297871708,0.014824197787389626,600
30,0.18648371228361393,0.15263157894736834,0.11411667222649323,0.11889473684210525,0.031823337294471205,0.015152515666836237,600
40,0.20123381420829523,0.16210526315789475,0.12341857844944798,0.11790526315789474,0.03203229683751954,0.017156041909486726,600
50,0.20000397573418238,0.14421052631578946,0.12129480334566288,0.10867368421052631,0.0303067673531338,0.01562616184018312,600
60,0.20317593656513844,0.14631578947368418,0.12798762754827767,0.1041578947368421,0.03637657319763826,0.019325733339947367,600
70,0.20772731875482897,0.13473684210526315,0.13268796855564335,0.10001052631578947,0.03551035820045795,0.017579727619932192,600
80,0.20430787204985135,0.1378947368421053,0.13180204346376687,0.091,0.04049140902944224,0.021010787868814593,600
90,0.2235363940881615,0.12736842105263158,0.1286301867821937,0.08506315789473684,0.033137275450854674,0.016339048246947062,600
100,0.2104941668864847,0.1294736842105263,0.1351129343886087,0.08643157894736841,0.03472095876355549,0.01768949109657235,600
