n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.016639275595016212,0.0,-0.0023570689789126653,-0.0055144694533762004,0.005063602258985014,0.004178938941080749,600
20,0.01227792006278261,0.001607717041800849,-0.0035690809755630016,-0.005964630225080388,0.004728647369369818,0.004507058691725491,600
30,0.008128116966193866,0.0,-0.004212578067786014,-0.005562700964630234,0.003617768224820608,0.0028459873666291974,600
40,0.03266485244553474,0.0,-0.00047951561490489905,-0.006816720257234727,0.01147963033518632,0.0037191186192255957,600
50,0.03071749346792474,0.0,0.005568848222638108,-0.008038585209003217,0.014790283771226856,0.004784074805456118,600
60,0.03172718458349999,-0.001607717041800405,0.013132972092773093,-0.009790996784565898,0.014856093461553985,0.00568931316191956,600
70,0.03161362304286719,-0.001607717041800627,0.01783990286749693,-0.010369774919614164,0.011827831219656464,0.005922450085211934,600
80,0.03419617225683946,-0.001607717041800627,0.02052976835750489,-0.012604501607717023,0.009236803401436752,0.006683774056332272,600
90,0.03374855295321222,-0.001607717041800516,0.021366906133774594,-0.01392282958199356,0.006524893660410051,0.006445158019931164,600
100,0.03134348409879539,-0.003215434083601365,0.021357218836962132,-0.014935691318327962,0.005224233619136269,0.0063970750267013194,600
