n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.04237279284944595,0.0,0.03574899863722738,-0.009678456591639871,0.004321453014070444,0.005578492285407163,600
20,0.04148854847645578,-0.003215434083601143,0.03176989895877078,-0.014421221864951761,0.005307570322078585,0.006266885161666735,600
30,0.04012198899092512,-0.004823151125401992,0.029419952549338824,-0.01660771704180063,0.0066877476843559885,0.007905882525585687,600
40,0.03831330731889948,-0.00482315112540177,0.027028741402500694,-0.0190192926045016,0.006368203732605374,0.006894792130424859,600
50,0.03822488288160031,-0.006430868167202841,0.025632278379992626,-0.02045016077170418,0.008043009358593655,0.008535839141542682,600
60,0.03899658706166487,-0.003215434083601143,0.02487252489660573,-0.02059485530546622,0.007710407129769685,0.008670108205731197,600
70,0.036607978885275116,-0.006430868167202397,0.023968337176501604,-0.02141479099678456,0.007803310411515646,0.008661697968817906,600
80,0.03807214976262918,-0.004823151125401992,0.02279321085587689,-0.021816720257234724,0.009044348195021555,0.009609339831137194,600
90,0.03545960956970273,-0.006430868167202397,0.02100919839409679,-0.024340836012861702,0.009313358720876588,0.010084625619013575,600
100,0.034085894188942256,-0.006430868167202508,0.020464289602924023,-0.024581993569131832,0.009461658902087007,0.010627816054685393,600
