n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.0394799934776785,0.04706695331695332,0.03368713006061351,0.04155942874692875,0.0029486304607367077,0.00250020126836729,600
20,0.04132059030216961,0.0523648648648648,0.034884316528181296,0.04511286855036855,0.003057403236281899,0.0036606707837827787,600
30,0.0438327580825324,0.05320945945945943,0.036239276762463295,0.04645039926289927,0.0032211057934279893,0.002985805998292758,600
40,0.043874729671097845,0.054130835380835296,0.0374797289882074,0.04654867936117936,0.0031752434951249856,0.003863518117022633,600
50,0.04591999315826267,0.05420761670761676,0.038733832172654144,0.045947481572481574,0.0032931109768476402,0.0042473495404187125,600
60,0.04723689813428289,0.054745085995085985,0.039760837169064304,0.04496160933660934,0.0035318959225838754,0.004181366409243461,600
70,0.05055081432408959,0.05259520884520874,0.0415375560832376,0.044412622850122846,0.0033052313604082545,0.004023313171421886,600
80,0.04933326711776742,0.051520270270270285,0.04190666099770206,0.04273878992628992,0.0038985822408073244,0.004196907440973749,600
90,0.05199936448224751,0.04929361179361169,0.04302258637302565,0.042638974201474195,0.0033531601976112186,0.0035348889191603554,600
100,0.052023346106520485,0.04983108108108114,0.044337267708159135,0.04038928132678133,0.0035228668466221677,0.004686226465983872,600
