n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.039073013395303335,0.06297502714440806,0.021273774414720233,0.03904451682953306,0.010628704326938864,0.010303352659153468,600
20,0.05779693588552404,0.06514657980456018,0.03192117863263668,0.04453854505971761,0.011082654507545356,0.011324438996430394,600
30,0.0708149468966317,0.06623235613463607,0.040557721780577774,0.046188925081433144,0.01153663283331176,0.009821612118421356,600
40,0.06756866295268638,0.06840390879478819,0.04488155682473431,0.04787187839305094,0.011473441481885668,0.010721424539806899,600
50,0.0870940440393857,0.08251900108577626,0.05083397489363694,0.048099891422366904,0.013293918685501524,0.012023931918734585,600
60,0.08400930123090444,0.07600434310532023,0.05601996087961953,0.04758957654723119,0.013586995191558841,0.011117195200468744,600
70,0.08765367679419434,0.08034744842562425,0.06403943553400226,0.0497068403908794,0.011680761690879766,0.012177224079083187,600
80,0.09750220467713888,0.08034744842562425,0.06821020349324664,0.04780673181324639,0.01271582436273439,0.010432664881642953,600
90,0.10270346359099658,0.07274701411509221,0.07396453310476395,0.04803474484256235,0.011784125364124154,0.011706065099464636,600
100,0.10399476994770929,0.06514657980456018,0.07794853379945278,0.04749185667752434,0.013223929777616127,0.009134105917831013,600
