n_clients,max_pred_minus_best,max_actual_minus_best,avg_pred_minus_best,avg_actual_minus_best,std_pred_minus_best,std_actual_minus_best,count
10,0.04296531706573725,0.023887079261671995,0.0013167273540622792,0.009880564603691593,0.0148742070507362,0.006847823015790866,600
20,0.042368140084195205,0.02714440825190001,0.01659238626837493,0.01308360477741582,0.015861136583834704,0.006288454850036731,600
30,0.035652709406523764,0.028230184581976125,0.026376189858781204,0.013626492942453836,0.005855158290507492,0.007036425075286114,600
40,0.032253563669202956,0.030401737242128024,0.02549270685524731,0.013821932681867533,0.004743554980903368,0.007294309753877966,600
50,0.031591240107856744,0.034744842562432154,0.020364083341866054,0.013257328990228016,0.00655529701115227,0.007996231744444405,600
60,0.030733476807096483,0.026058631921824116,0.015907319741974794,0.010684039087947888,0.0067244894212997435,0.007298946438774279,600
70,0.027866545875154247,0.02714440825190001,0.011302140094102256,0.0071769815418023875,0.007385192460654381,0.008898720336022408,600
80,0.024256339577651498,0.0228013029315961,0.0055058606067137925,0.004777415852334419,0.007812605157753392,0.009116480661433161,600
90,0.019554324859350047,0.0228013029315961,0.0016426853026902488,0.002095548317046685,0.007443291205007959,0.008164238951560272,600
100,0.015705850978302682,0.018458197611292082,-0.005126830889232321,-0.0036047774158523226,0.008188513535757436,0.008808000611524366,600
