comm_cost,cost_mode,n_clients,max_depth,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.1,fixed,10,100,1,0.847492327344295,0.747492327344295,0.8548065110565111,0.7548065110565111
0.1,fixed,10,100,2,0.8451515521707325,0.7451515521707325,0.8548065110565111,0.7548065110565111
0.1,fixed,10,100,3,0.8523197000182168,0.7523197000182168,0.8566492628992629,0.7566492628992629
0.1,fixed,10,100,4,0.8446869828937172,0.7446869828937173,0.8513513513513513,0.7513513513513513
0.1,fixed,10,100,5,0.8427757609125145,0.7427757609125145,0.8531941031941032,0.7531941031941032
0.1,fixed,10,100,6,0.8450835951883592,0.7450835951883592,0.8538083538083538,0.7538083538083539
0.1,fixed,10,100,7,0.848090153793547,0.748090153793547,0.8523495085995086,0.7523495085995087
0.1,fixed,10,100,8,0.8469075365776007,0.7469075365776007,0.8566492628992629,0.7566492628992629
0.1,fixed,10,100,9,0.8439292638811426,0.7439292638811427,0.8487407862407862,0.7487407862407862
0.1,fixed,10,100,10,0.8488338169841972,0.7488338169841973,0.8580313267813268,0.7580313267813268
0.1,fixed,10,100,11,0.8475608252485219,0.747560825248522,0.8543458230958231,0.7543458230958231
0.1,fixed,10,100,12,0.8407072788923944,0.7407072788923944,0.8587223587223587,0.7587223587223587
0.1,fixed,10,100,13,0.8472593496814922,0.7472593496814922,0.8528101965601965,0.7528101965601965
0.1,fixed,10,100,14,0.850241351089435,0.750241351089435,0.8521959459459459,0.752195945945946
0.1,fixed,10,100,15,0.8536466666470578,0.7536466666470578,0.8568028255528255,0.7568028255528255
0.1,fixed,10,100,16,0.8500161874120559,0.7500161874120559,0.8530405405405406,0.7530405405405406
0.1,fixed,10,100,17,0.8439428857296795,0.7439428857296795,0.8488943488943489,0.7488943488943489
0.1,fixed,10,100,18,0.8416582482964046,0.7416582482964046,0.8544993857493858,0.7544993857493858
0.1,fixed,10,100,19,0.8501748718102438,0.7501748718102438,0.8601812039312039,0.7601812039312039
0.1,fixed,10,100,20,0.8431327919382908,0.7431327919382908,0.8509674447174447,0.7509674447174447
0.1,fixed,10,100,21,0.8476267446663984,0.7476267446663984,0.8567260442260443,0.7567260442260443
0.1,fixed,10,100,22,0.8511650534095965,0.7511650534095965,0.8562653562653563,0.7562653562653563
0.1,fixed,10,100,23,0.8480399610036576,0.7480399610036577,0.851044226044226,0.751044226044226
0.1,fixed,10,100,24,0.8494777061237945,0.7494777061237945,0.8538083538083538,0.7538083538083539
0.1,fixed,10,100,25,0.8447913537168139,0.7447913537168139,0.8544226044226044,0.7544226044226044
0.1,fixed,10,100,26,0.8414414895331904,0.7414414895331904,0.8521191646191646,0.7521191646191646
0.1,fixed,10,100,27,0.8462282742177714,0.7462282742177714,0.8524262899262899,0.7524262899262899
0.1,fixed,10,100,28,0.8510950371624458,0.7510950371624459,0.8534244471744472,0.7534244471744472
0.1,fixed,10,100,29,0.8452335936734388,0.7452335936734388,0.8531173218673219,0.7531173218673219
0.1,fixed,10,100,30,0.8494777061237945,0.7494777061237945,0.8538083538083538,0.7538083538083539
0.1,fixed,10,100,31,0.8435488684163628,0.7435488684163628,0.8530405405405406,0.7530405405405406
0.1,fixed,10,100,32,0.848304868784398,0.7483048687843981,0.8561885749385749,0.7561885749385749
0.1,fixed,10,100,33,0.8457379957347125,0.7457379957347126,0.8561117936117936,0.7561117936117936
