n_clients,max_iter,Lottery_Occurrences,Lottery_Rate,Complete_Occurrences,Complete_Rate
10,100,74,0.74,93,0.93
20,100,82,0.82,98,0.98
30,100,99,0.99,95,0.95
40,100,100,1.0,97,0.97
50,100,100,1.0,92,0.92
60,100,99,0.99,89,0.89
70,100,95,0.95,73,0.73
80,100,79,0.79,65,0.65
90,100,57,0.57,57,0.57
100,100,24,0.24,31,0.31
