comm_cost,cost_mode,n_clients,max_depth,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.02,fixed,10,100,1,0.8476617387219744,0.8276617387219743,0.8578947368421053,0.8378947368421052
0.02,fixed,10,100,2,0.8519034575371799,0.8319034575371799,0.8705263157894737,0.8505263157894737
0.02,fixed,10,100,3,0.848571005777309,0.828571005777309,0.8652631578947368,0.8452631578947368
0.02,fixed,10,100,4,0.8647559707503446,0.8447559707503446,0.8789473684210526,0.8589473684210526
0.02,fixed,10,100,5,0.8412430716691132,0.8212430716691131,0.8894736842105263,0.8694736842105263
0.02,fixed,10,100,6,0.8439447387505545,0.8239447387505545,0.8610526315789474,0.8410526315789474
0.02,fixed,10,100,7,0.8100985033913877,0.7900985033913877,0.8473684210526315,0.8273684210526315
0.02,fixed,10,100,8,0.8100289464920734,0.7900289464920733,0.88,0.86
0.02,fixed,10,100,9,0.8381252277940965,0.8181252277940965,0.8694736842105263,0.8494736842105263
0.02,fixed,10,100,10,0.8433566580129798,0.8233566580129797,0.8663157894736843,0.8463157894736842
0.02,fixed,10,100,11,0.8413266732944383,0.8213266732944383,0.8421052631578947,0.8221052631578947
0.02,fixed,10,100,12,0.8256922687211262,0.8056922687211262,0.8610526315789474,0.8410526315789474
0.02,fixed,10,100,13,0.8398426647392696,0.8198426647392696,0.8673684210526316,0.8473684210526315
0.02,fixed,10,100,14,0.8317607119832752,0.8117607119832752,0.8768421052631579,0.8568421052631578
0.02,fixed,10,100,15,0.8382130512600625,0.8182130512600625,0.8547368421052631,0.8347368421052631
0.02,fixed,10,100,16,0.8274687271633991,0.8074687271633991,0.8726315789473684,0.8526315789473684
0.02,fixed,10,100,17,0.8489112021339275,0.8289112021339274,0.8589473684210527,0.8389473684210527
0.02,fixed,10,100,18,0.8248333920325004,0.8048333920325004,0.8673684210526316,0.8473684210526315
0.02,fixed,10,100,19,0.8212349619893025,0.8012349619893024,0.8631578947368421,0.8431578947368421
0.02,fixed,10,100,20,0.856770344032558,0.836770344032558,0.8768421052631579,0.8568421052631578
0.02,fixed,10,100,21,0.8499937189860994,0.8299937189860994,0.88,0.86
0.02,fixed,10,100,22,0.8143508949585615,0.7943508949585615,0.8589473684210527,0.8389473684210527
0.02,fixed,10,100,23,0.8475577088723169,0.8275577088723168,0.8831578947368421,0.8631578947368421
0.02,fixed,10,100,24,0.8547012625418322,0.8347012625418322,0.8642105263157894,0.8442105263157894
0.02,fixed,10,100,25,0.8264171446050614,0.8064171446050614,0.8821052631578947,0.8621052631578947
0.02,fixed,10,100,26,0.8221892991214341,0.8021892991214341,0.8673684210526316,0.8473684210526315
0.02,fixed,10,100,27,0.8469837392981577,0.8269837392981577,0.8694736842105263,0.8494736842105263
0.02,fixed,10,100,28,0.8303271805999853,0.8103271805999853,0.8705263157894737,0.8505263157894737
0.02,fixed,10,100,29,0.8323126095458119,0.8123126095458119,0.868421052631579,0.848421052631579
0.02,fixed,10,100,30,0.8547012625418322,0.8347012625418322,0.8642105263157894,0.8442105263157894
0.02,fixed,10,100,31,0.8520440297071653,0.8320440297071653,0.8810526315789474,0.8610526315789474
0.02,fixed,10,100,32,0.8283440040339369,0.8083440040339369,0.8631578947368421,0.8431578947368421
0.02,fixed,10,100,33,0.8221499852183227,0.8021499852183227,0.8705263157894737,0.8505263157894737
0.02,fixed,10,100,34,0.8308186846862795,0.8108186846862795,0.8589473684210527,0.8389473684210527
0.02,fixed,10,100,35,0.83217241455274,0.81217241455274,0.8757894736842106,0.8557894736842105
0.02,fixed,10,100,36,0.8378016732582625,0.8178016732582625,0.8610526315789474,0.8410526315789474
0.02,fixed,10,100,37,0.8299442129948428,0.8099442129948428,0.8810526315789474,0.8610526315789474
0.02,fixed,10,100,38,0.8401581542907337,0.8201581542907337,0.8589473684210527,0.8389473684210527
0.02,fixed,10,100,39,0.8518151309053922,0.8318151309053922,0.8810526315789474,0.8610526315789474
0.02,fixed,10,100,40,0.8084840618929197,0.7884840618929196,0.8663157894736843,0.8463157894736842
0.02,fixed,10,100,41,0.8340468266055372,0.8140468266055372,0.8757894736842106,0.8557894736842105
0.02,fixed,10,100,42,0.8569546292836469,0.8369546292836468,0.8673684210526316,0.8473684210526315
0.02,fixed,10,100,43,0.8386300595446275,0.8186300595446275,0.8726315789473684,0.8526315789473684
0.02,fixed,10,100,44,0.8419593505427684,0.8219593505427684,0.8610526315789474,0.8410526315789474
0.02,fixed,10,100,45,0.8239288906015919,0.8039288906015919,0.848421052631579,0.828421052631579
0.02,fixed,10,100,46,0.8129152127143601,0.79291521271436,0.8736842105263158,0.8536842105263158
0.02,fixed,10,100,47,0.8316940958778647,0.8116940958778647,0.8726315789473684,0.8526315789473684
0.02,fixed,10,100,48,0.8004274821292358,0.7804274821292357,0.8652631578947368,0.8452631578947368
0.02,fixed,10,100,49,0.8467436559291782,0.8267436559291782,0.8894736842105263,0.8694736842105263
0.02,fixed,10,100,50,0.8398732758232229,0.8198732758232229,0.8810526315789474,0.8610526315789474
0.02,fixed,10,100,51,0.8387036020748221,0.8187036020748221,0.8694736842105263,0.8494736842105263
0.02,fixed,10,100,52,0.8423385928825741,0.822338592882574,0.8757894736842106,0.8557894736842105
